iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
MRT,6402.8,6528.77,173089.92,1036667.41,0.63,3.7,na,na,5,https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf,6402.8,6528.77,0.63,3.7
MSR,0,11.12,7187.82,102.29,10.87,0,na,na,na,na,0,11.12,10.87,0
MTQ,47668.71,799.81,47624.4,1109.68,72.08,100,na,na,na,na,47668.71,799.81,72.08,100
MUS,45.2,101.16,1926624.8,2040.02,4.96,0,7.6,na,5,https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf,45.2,101.16,4.96,0
MWI,0,27374.2,0,118473.41,23.11,0,na,na,5,https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf,0,27374.2,23.11,0
MYS,25060.73,43769.94,517605.54,328594.72,13.32,4.84,na,1.4,5,https://www.cbd.int/doc/world/my/my-nr-05-en.pdf,25060.73,43769.94,13.32,4.84
MYT,68362.77,57,66912.25,375.86,15.17,100,na,na,0,na,68362.77,57,15.17,100
NAM,9505.46,328926.29,562161.68,823997.77,39.92,1.69,16.7,na,5,https://www.cbd.int/doc/world/na/na-nr-05-en.pdf,9505.46,328926.29,39.92,1.69
NCL,1319252.54,11120.41,1179559.59,18663.45,59.58,100,na,na,na,na,1319252.54,11120.41,59.58,100
NER,0,215530.11,0,1182311.41,18.23,0,15.21,0,6,https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC,0,215530.11,18.23,0
NFK,188442.42,7.99,430748.41,38.73,20.62,43.75,na,na,na,na,188442.42,7.99,20.62,43.75
NGA,33.44,126734.8,178065.72,908932.69,13.94,0.02,6,na,5,https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf,33.44,126734.8,13.94,0.02
NIC,7765.62,27204.41,213654.73,128161.49,21.23,3.63,na,na,0,na,7765.62,27204.41,21.23,3.63
NIU,129426.03,57.89,318149.31,261.6,22.13,40.68,23,na,5,https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf,129426.03,57.89,22.13,40.68
NLD,21485.51,8113.32,63992.62,35416.78,22.91,33.57,21.7,19,5,https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf,21485.51,8113.32,22.91,33.57
NOR,9700.79,57684.08,932292.37,324484.16,17.78,1.04,17.2,3.1,6,https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5,9700.79,57684.08,17.78,1.04
NPL,0,34770.15,0,147609.53,23.56,0,23.39,0,6,https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951,0,34770.15,23.56,0
NRU,0,0,310565.13,22.79,0,0,na,na,6,https://www.cbd.int/doc/nr/nr-06/nr-nr-06-en.pdf,0,0,0,0
NZL,1247400.97,90210.83,4104146.27,269998.95,33.41,30.39,36.73,7,5,https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf,1247400.97,90210.83,33.41,30.39
OMN,90090.6,67743.16,556539.66,308504.6,21.96,16.19,na,na,5,https://www.cbd.int/doc/world/om/om-nr-05-en.pdf,90264.28,67743.28,21.96,16.22
