iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_marine_cover,percentage_oecms_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
LTU,1567.706297,11027.65458,6125.653875,64696.51583,17.04521,25.59247,1567.706297,11027.65458,25.59247272,17.04520628,na,na,0,na
LUX,0,1333.04901,0,2603.081524,51.21042,0,0,1333.04901,0,51.2104211,27,na,6,https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8
LVA,4631.671906,11734.65049,28879.55287,64501.94768,18.19271,16.03789,4631.671906,11734.65049,16.03789341,18.19270722,17,na,5,https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf
MAF,1030.535376,7.609153,1068.741983,59.578286,12.77169,96.42509,1030.535376,7.609153,96.42508598,12.77168833,na,na,0,na
MAR,1904.2686,17382.35496,276136.4075,407280.495,4.267908,0.689612,1904.2686,17382.35496,0.689611565,4.267907542,16.2,na,6,https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE
MCO,283.522868,0.528888,284.22031,1.595194,33.15511,99.75462,283.522868,0.528888,99.75461219,33.1550896,na,na,5,https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf
MDA,0,1409.67766,0,33963.76161,4.150535,0,0,1409.67766,0,4.15053455,5.8,0,6,https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23
MDG,11017.95793,44521.09838,1205824.849,594718.7259,7.486076,0.913728,11017.95793,44521.09838,0.913727889,7.486076432,na,na,5,https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf
MDV,623.301291,6.999289,922109.9914,304.666095,2.297364,0.067595,623.301291,6.999289,0.067595113,2.297363939,na,na,5,https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf
MEX,707955.6478,284800.9268,3284659.67,1965284.828,14.49159,21.55339,707955.6478,284800.9268,21.55339423,14.49158528,12.9,21,6,https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf
MHL,5388.396257,33.593723,2004587.264,281.928035,11.91571,0.268803,5388.396257,33.593723,0.268803277,11.91570856,16,18,5,na
MKD,0,2279.034304,0,25443.14057,8.957362,0,0,2279.034304,0,8.957362388,na,0,0,na
